155,DTS kominfo,Ops,Indonesia
156,Dwidaya Nusantara Convex,Ops,Indonesia
157,Eatsy Technologies,Finance,Indonesia
158,Eatsyapp,"Marketing, Sales, BD and Partnerships, Ops",Indonesia
159,Ecologes Indonesia,"Marketing, BD and Partnerships",Indonesia
160,Ekipa Agile Consultancy,"Marketing, Sales, Product, Data and Analytics, Design",Indonesia
161,EKRUT,"Marketing, BD and Partnerships",Indonesia
162,Elliot Communications,"BD and Partnerships, Data and Analytics, HR, People, Talent",Indonesia
163,Elliot Communications,"Marketing, Sales, BD and Partnerships, Data and Analytics",Indonesia
164,Expedia Group,Sales,Indonesia
165,Ferron Par Pharmaceuticals,"HR, People, Talent",Indonesia
166,Finflee Teknologi Indonesia,"HR, People, Talent",Indonesia
167,Fintech,Marketing,Indonesia
168,Fleischhacker Solution Indonesia,"Marketing, Sales, Ops, Data and Analytics",Indonesia
169,foodspot,"Sales, BD and Partnerships",Indonesia
170,Foomee Science Intelligence ,Design,Indonesia
171,Fore Coffee,Engineering,Indonesia
172,Fore Coffee,Engineering,Indonesia
173,Fullerton Health Indonesia,"Sales, BD and Partnerships",Indonesia
174,Fuse Teknologi,"Marketing, BD and Partnerships",Indonesia
175,Glints Indoensia,"Marketing, Data and Analytics",Indonesia
176,Go Online Destination (Pegipegi),Data and Analytics,Indonesia
177,Gojek,"Sales, BD and Partnerships, Ops, Data and Analytics",Indonesia
178,Gorry Holdings,"Marketing, Sales, BD and Partnerships, Engineering, Product, Finance, Data and Analytics, Exec Team, HR, People, Talent, Design",Indonesia
179,Grab,Data and Analytics,Indonesia
180,Gredu,"Engineering, Design",Indonesia
181,Gredu,Product,Indonesia
182,Gredu,Product,Indonesia
183,GREDU,"Product, Design",Indonesia
184,Hacktiv8,Engineering,Indonesia
185,Hacktiv8,Engineering,Indonesia
186,Hacktiv8,Engineering,Indonesia
187,Hacktiv8,"Engineering, Data and Analytics",Indonesia
188,Hacktiv8,"Engineering, Ops, Data and Analytics",Indonesia
189,Hacktiv8,"Engineering, Product, Data and Analytics, Design",Indonesia
190,Hacktiv8,"Product, HR, People, Talent",Indonesia
191,Hara Token,Engineering,Indonesia
192,Helmad,"Marketing, Sales, BD and Partnerships",Indonesia
193,HijUp,Marketing,Indonesia
194,HJ Production Asia,"Ops, Exec Team, HR, People, Talent, Design",Indonesia
195,Holiday Inn Express Jakarta Matraman,"HR, People, Talent",Indonesia
196,Home Credit Indonesia,Engineering,Indonesia
197,Home Credit Indonesia ,"Finance, Data and Analytics",Indonesia
198,Homecare24.id,"Marketing, Sales, BD and Partnerships, Product",Indonesia
199,HOOQ,BD and Partnerships,Indonesia
200,HOOQ,BD and Partnerships,Indonesia
201,HOOQ,Design,Indonesia
202,HOOQ,Design,Indonesia
203,HOOQ,Engineering,Indonesia
204,HOOQ,Engineering,Indonesia
205,HOOQ,Engineering,Indonesia
206,HOOQ,Engineering,Indonesia
207,HOOQ,Engineering,Indonesia
208,HOOQ,Engineering,Indonesia
209,HOOQ,Engineering,Indonesia
210,HOOQ,Engineering,Indonesia
211,HOOQ,Engineering,Indonesia
212,HOOQ,Engineering,Indonesia
213,HOOQ,Marketing,Indonesia
214,HOOQ,Marketing,Indonesia
215,HOOQ,Marketing,Indonesia
216,HOOQ,Marketing,Indonesia
217,HOOQ,Product,Indonesia
218,Hotel Bluesky Pandurata,"Marketing, Sales",Indonesia
219,Hubud: Coworking Space,"BD and Partnerships, Ops, Exec Team",Indonesia
220,Hubud: Coworking Space,"Marketing, Ops",Indonesia
221,Hubud: Coworking Space,"Marketing, Product, Exec Team, HR, People, Talent",Indonesia
222,HUYA,"Marketing, BD and Partnerships",Indonesia
223,IBK Bank Indonesia,"Marketing, BD and Partnerships, Product, Finance, Ops",Indonesia
224,IBM Indonesia,"Product, Design",Indonesia
225,Ibunda.id,"Marketing, BD and Partnerships",Indonesia
226,Idigiline,"Marketing, Sales, BD and Partnerships",Indonesia
227,IDStar,Engineering,Indonesia
228,Impactgroup,"Marketing, Product, Data and Analytics",Indonesia
229,IMURAL.ID,"Marketing, Product, Design",Indonesia
230,International Animal Rescue Indonesia,"Marketing, Design",Indonesia
231,International Finance Corporation,"BD and Partnerships, Data and Analytics",Indonesia
232,Investree,"HR, People, Talent",Indonesia
233,Investree,"Sales, BD and Partnerships, Finance",Indonesia
234,iSeller,Ops,Indonesia
235,ISMAYA GROUP,"Marketing, BD and Partnerships",Indonesia
236,Japan Tobacco International ,Marketing,Indonesia
237,Java anugerah,"Marketing, Ops, Data and Analytics, Exec Team",Indonesia
238,Jawapos tv Jakarta,"Marketing, Product, Design",Indonesia
239,Jawapos tv Jakarta,"Marketing, Product, Design",Indonesia
240,Jawapos tv Jakarta,"Marketing, Product, Design",Indonesia
241,JAWAPOSTV,Design,Indonesia
242,Jualo,"Marketing, BD and Partnerships",Indonesia
243,Jualo & Carro,"Marketing, BD and Partnerships, Exec Team",Indonesia
244,Jualo & Carro,"Marketing, Sales, BD and Partnerships, Design",Indonesia
245,Julo,"Marketing, Product, Data and Analytics",Indonesia
246,JW Marriott Medan,"Marketing, Sales, Accounting, Finance",Indonesia
247,Kamar Keluarga,Marketing,Indonesia
248,Kinniku Studio,Design,Indonesia
249,KoinWorks,Design,Indonesia
250,KoinWorks,Design,Indonesia
251,KoinWorks,Engineering,Indonesia
